Month_Num,Month_Name,Area_Name,GMM_Threshold_dB
12,December,Brahamanbaria,-10.9055
12,December,Chandpur,-14.4126
12,December,Chittagong,-8.5614
12,December,Chuadanga,-8.3955
12,December,Comilla,-8.9468
12,December,Cox's Bazar,-8.6345
12,December,Dhaka,-8.2379
12,December,Dinajpur,-8.6666
12,December,Faridpur,-14.6807
12,December,Feni,-8.6438
12,December,Gaibandha,-14.3091
12,December,Gazipur,-8.2379
12,December,Gopalganj,-11.0469
12,December,Habiganj,-11.2454
12,December,Jamalpur,-11.119
12,December,Jessore,-12.9613
12,December,Jhalokati,-12.5267
12,December,Jhenaidah,-9.0766
12,December,Joypurhat,-7.9657
12,December,Khagrachhari,-7.2291
12,December,Khulna,-10.6817
12,December,Kishoreganj,-15.8127
12,December,Kurigram,-14.5594
12,December,Kushtia,-13.3865
12,December,Lakshmipur,-15.4771
12,December,Lalmonirhat,-8.5631
12,December,Madaripur,-13.9177
12,December,Magura,-10.0702
12,December,Manikganj,-15.0071
12,December,Maulvibazar,-11.6404
12,December,Meherpur,-8.3539
12,December,Munshiganj,-15.2231
12,December,Mymensingh,-9.0323
12,December,Naogaon,-9.6974
12,December,Narail,-11.9985
12,December,Narayanganj,-9.1026
12,December,Narsingdi,-15.5677
12,December,Natore,-10.1259
12,December,Nawabganj,-12.2503
12,December,Netrakona,-12.4892
12,December,Nilphamari,-8.3744
12,December,Noakhali,-14.1943
12,December,Pabna,-12.2395
12,December,Panchagarh,-9.1458
12,December,Patuakhali,-14.335
12,December,Pirojpur,-12.3268
12,December,Rajbari,-14.489
12,December,Rajshahi,-11.9981
12,December,Rangamati,-12.2982
12,December,Rangpur,-7.6191
12,December,Satkhira,-10.7522
12,December,Shariatpur,-14.6329
12,December,Sherpur,-8.2606
12,December,Sirajganj,-15.1165
12,December,Sunamganj,-16.2616
12,December,Sylhet,-11.7575
12,December,Tangail,-8.6563
12,December,Thakurgaon,-9.2356
12,December,national_mean,-11.4614
